id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat,,,,,
ark://27927/phzg70w7ms4,Postfascism in Spain: The Struggle for Catalonia,Critical Sociology,2020,10.1177/0896920519867132,article,,portico,,01/07/2020,04-May,46,http://doi.org/10.1177/0896920519867132,David Whyte; Ignasi Bernat,SAGE Publications,eng,761,776,,spanish; catalan; franco; catalonia; fascist; political; bernat; spanish state; francoist; regime,10078,16,unigram; bigram; trigram,,,,,
ark://27927/pjbfnqdxzb3,Index,Feeding Fascism,2021,,chapter,,portico,,01/01/2021,,,,"Garvin, Diana",University of Toronto Press,eng,,,,rice weeders; female rice weeders; female rice; kitchens; recipes cookbooks; cucina; morelli; spagnoli; autarky; foggia,11110,14,unigram; bigram; trigram,,,,,
ark://27927/pjbj13tm8kd,Index,Revolting Families,2013,,chapter,,portico,,01/01/2013,,,,"Smith, Carrie",University of Toronto Press,eng,,,,realism; new realism; corporeal realism; black realism; negativity; family; private sphere; repressive sublimation; revolting families; marcuse herbert,7720,10,unigram; bigram; trigram,,,,,
ark://27927/pjbh0cpmggn,“The homeland is on the ship:” D’Annunzio's La nave and the construction of nationhood,Forum Italicum,2023,10.1177/00145858231175144,article,research-article,portico,,01/08/2023,2,57,http://doi.org/10.1177/00145858231175144,Serena Bassi; Loredana Polezzi; Giulia Riccò; Silvia Guslandi,SAGE Publications,eng,641,659,,forum italicum; italian; byzantine; gabriele d’annunzio; gabriele; italian studies; nationalist; cultural; colonial; venetian lagoon,11609,19,unigram; bigram; trigram,,,,,
ark://27927/pbf3pk1km6,Introduction,The Cultural Return,2011,10.1525/j.ctt1pndzm.4,chapter,,portico,,03/12/2011,,,https://doi.org/10.1525/j.ctt1pndzm.4,Susan Hegeman,University of California Press,eng,1,20,,culture; cultural studies; anthropology; disciplinary; cultural turn; specifi; usages; political; moment; global,8259,20,unigram; bigram; trigram,,,,,
ark://27927/pgk1p5k7c38,Fascism: A History (review),Journal of World History,1999,10.1353/jwh.2005.0027,article,Review,portico,,24/02/1999,1,10,http://doi.org/10.1353/jwh.2005.0027,Mario Sznajder,Project MUSE,eng,266,269,,fascism; eatwell; fascist movements; political; syncretic legitimation; roger eatwell; moshe lewin; stalinism; nazism; ian kershaw,1983,4,unigram; bigram; trigram,,,,,
ark://27927/phzfjckhdmq,"Notes	",Unlearning Eugenics,2018,,chapter,,portico,,01/01/2018,,,,"Herzog, Dagmar",University of Wisconsin Press,eng,,,,abortion; disability; estrela report; thalidomide; peter singer; euthanasie; syndrome; eugenics; european; abortion law,25006,64,unigram; bigram; trigram,,,,,
ark://27927/pjb6qv6dp7c,Reflexive Fascism in the Age of History Memes,Journal of Modern European History,2022,10.1177/16118944221110451,article,research-article,portico,,01/08/2022,3,20,http://doi.org/10.1177/16118944221110451,Simon Strick,SAGE Publications,eng,335,351,,fascism; reflexive fascism; historical fascism; alternative right; whiteness; reflexive modernity; great replacement; strick; endangerment; memetic warfare,10691,17,unigram; bigram; trigram,,,,,
ark://27927/pjc2ksgffj,Bibliography,"Immigration, Integration, and Security",2008,,chapter,,portico,,01/01/2008,,,,"Reich, Simon; Chebel D'Appollonia, Ariane",University of Pittsburgh Press,eng,,,,immigration; terrorism; europe; european; migration; security; asylum; university; politics; london,27134,44,unigram; bigram; trigram,,,,,
ark://27927/phzp1569td1,The Socio-Theoretical Relevance of Erich Fromm's Psychoanalytic Conception of Narcissism,Theoria,2021,10.3167/th.2021.6816601,article,research-article,portico,,01/03/2021,166,68,http://doi.org/10.3167/th.2021.6816601,Takamichi Sakurai,Berghahn,eng,1,30,,narcissism; sakurai; fascism; alienation; theory; narcissistic; social theory; psychoanalytic conception; group narcissism; malignant narcissism,11199,30,unigram; bigram; trigram,,,,,
ark://27927/phzfjwpqvc1,"1. Deep Play and Social Responsibility in Vienna	",Emergent Forms of Life and the Anthropological Voice,2003,,chapter,,portico,,01/01/2003,,,,"Fischer, Michael M. J.",Duke University Press,eng,,,,deep play; ethical plateaus; yanomami; vienna; rosh hashanah; manfred deix; xenotransplantation; austrian; austria; cartoons,3241,10,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/j.ctvw04kd8.4,Preface,Europeanization in Sweden: Opportunities and Challenges for Civil Society Organizations,2019,,chapter,preface,jstor,,01/01/2019,,10,http://www.jstor.org/stable/j.ctvw04kd8.4,Carlo Ruzza; Anna Meeuwisse; Roberto Scaramuzzino,Berghahn Books,eng,ix,xv,"NEW YORK, OXFORD",europeanization; organized civil; organizations; embeddedness; governance; swedish; swedish civil; ulrika levander; funding; håkan johansson,2859,,unigrams; bigrams; trigrams; fullText,,,,,
ark://27927/pjbfns6h7t9,Works Cited,"Sun, Sex and Socialism",2012,,chapter,,portico,,01/01/2012,,,,"Hosek, Jennifer  Ruth",University of Toronto Press,eng,,,,sapmo barch; magnus enzensberger; berlin; works cited; che guevara; hans magnus; main suhrkamp; frankfurt; german; verlag,9697,20,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/24450125,"Fascism: Past, Present and Future",The Historian,1998,,article,book-review,jstor,,01/10/1998,1,61,http://www.jstor.org/stable/24450125,Roger Eatwell; Walter Laqueur,Wiley,eng,201,202,,fascism; laqueur; roger eatwell; oswald mosley; eatwell roger; nazis polled; islamic fundamentalism; walter laqueur; seriously laqueur; laqueur claims,550,2,unigrams; bigrams; trigrams,,,,,
ark://27927/pbd9dh1brs,A Comparative History of Literatures in the Iberian Peninsula,Benjamins E-Books,2010,10.1075/chlel.xxiv,book,,portico,,26/05/2010,,,http://doi.org/10.1075/chlel.xxiv,Fernando Cabo Aseguinolaza; Anxo Abuín Gonzalez; César Domínguez,John Benjamins Publishing Company,eng,,,,literary; iberian peninsula; literatures; fernando cabo; peninsular; portuguese; spanish; european; literary historiography; historiographical discourses,434844,764,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/j.ctv1jf2c49,Trickbox of Memory,,2020,,book,book,jstor,,01/01/2020,,,http://www.jstor.org/stable/j.ctv1jf2c49,Felicitas Macgilchrist; Rosalie Metro,Punctum Books,eng,,,,memory; history; mémoire; alexandra oeser; historians; materiality; gavin smith; alon confino; french; paris editions,49162,,unigrams; bigrams; trigrams; fullText,,,,,
http://www.jstor.org/stable/10.5749/jj.1410593,Cinema is the Strongest Weapon,,2023,,book,book,jstor,,01/01/2023,,,http://www.jstor.org/stable/10.5749/jj.1410593,LORENZO FABBRI,University of Minnesota Press,eng,,,MINNEAPOLIS,maddalena; genre trouble; teresa venerdì; maddalena zero; sica’s genre; sica’s genre trouble; tre punte; italian; condotta; comedies,118467,,unigrams; bigrams; trigrams; fullText,,,,,
ark://27927/phzfjwpqxr4,"Bibliography	",Emergent Forms of Life and the Anthropological Voice,2003,,chapter,,portico,,01/01/2003,,,,"Fischer, Michael M. J.",Duke University Press,eng,,,,university; chicago; chicago university; phd diss; cambridge harvard; berkeley university; science; harvard university; late editions; stanford,13391,36,unigram; bigram; trigram,,,,,
ark://27927/phzf775c6hk,"On fortification: Military architecture, geometric power, and defensive design",Security Dialogue,2020,10.1177/0967010619889470,article,,portico,,01/04/2020,02-Mar,51,http://doi.org/10.1177/0967010619889470,Derek S Denman,SAGE Publications,eng,231,247,,fortification; military; defense; fortress; military architecture; vauban; warfare; security dialogue; viollet; trace italienne,10299,17,unigram; bigram; trigram,,,,,
ark://27927/phz6ddw50dw,"Populism in Latin America: Past, Present, and Future",Latin American Politics and Society,2018,10.1017/lap.2018.63,article,,portico,,17/12/2018,1,61,http://doi.org/10.1017/lap.2018.63,Germán Campos-Herrera; Sebastián Umpierrez de Reguero,Cambridge University Press,eng,148,159,,populism; rovira kaltwasser; political; ideational approach; chávez; populist mobilization; mobilization; campos herrera; cristóbal rovira; fascism,5525,12,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/20081143,"Fascism in General, and Fascism in Particular",Contemporary European History,2003,,article,book-review,jstor,,01/02/2003,1,12,http://www.jstor.org/stable/20081143,Philip Morgan; Richard Bosworth; Ottar Dahl; Alexander De Grand; Dahlia Elazar; Aristotle Kallis; Mark Neocleous; John Pollard; Jeffrey Schnapp,Cambridge University Press,eng,107,117,,fascism; italian fascism; italian; mussolini; fascist italy; fascist ideology; fascist regime; regime; richard bosworth; london roudedge,5675,11,unigrams; bigrams; trigrams,,,,,
http://www.jstor.org/stable/26979846,On fortification,Security Dialogue,2020,,article,research-article,jstor,,01/04/2020,02-Mar,51,http://www.jstor.org/stable/26979846,Derek S Denman,"Sage Publications, Ltd.",eng,231,247,,fortification; military; defense; fortress; military architecture; vauban; warfare; security dialogue; viollet; trace italienne,10379,17,unigrams; bigrams; trigrams,,,,,
http://www.jstor.org/stable/jj.17207102,"Vortex, The",,2023,,book,book,jstor,,01/01/2023,,,http://www.jstor.org/stable/jj.17207102,FRANK UEKÖTTER,University of Pittsburgh Press,eng,,,"Pittsburgh, Pa.",hybrid corn; potosí; pontine marshes; catastrophe; jack kloppenburg; pine roots; green revolution; patent; agricultural; farmers,334632,,unigrams; bigrams; trigrams; fullText,,,,,
ark://27927/pjbd36d3w0b,Notes,Mussolini's Grandchildren,2023,,chapter,,portico,,20/03/2023,,,,David Broder,Pluto Press,eng,179,215,,giorgia meloni; corriere della; destra; della sera; repubblica; corriere della sera; sono giorgia; alleanza nazionale; fascismo; della destra,18949,37,unigram; bigram; trigram,,,,,
ark://27927/pjc2ksgj3t,2. Identity Discourse in Western Europe and the United States in the Aftermath of 9/11,"Immigration, Integration, and Security",2008,,chapter,,portico,,01/01/2008,,,,Ilya Prizel,University of Pittsburgh Press,eng,,,,immigration; identity; multiculturalism; european; europe; discourse; nativist; american; united; states,11056,21,unigram; bigram; trigram,,,,,
ark://27927/pgkz8t6gvx,Progressive Participation and Transnational Activism in the Catholic Church after Vatican II: The Dutch and West German Examples,Journal of Contemporary History,2015,10.1177/0022009414555710,article,,portico,,01/07/2015,3,50,http://doi.org/10.1177/0022009414555710,Chris Dols; Benjamin Ziemann,SAGE Publications,eng,465,485,,liberation theology; church; catholics; pastoral; bishops; priests; german catholics; german; septuagint; ziemann,10917,21,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/4212736,Tackling the Transition: Still Dancing on the Volcano?,The Slavonic and East European Review,1998,,article,book-review,jstor,,01/10/1998,4,76,http://www.jstor.org/stable/4212736,"Richard Sakwa; James H. Bater; Harry Eckstein; Frederic J. Fleron, <suffix>Jr.</suffix>; Erik P. Hoffmann; William M. Reissinger; Grzegorz Ekiert; Karen Henderson; Robinson Neil; Leslie Holmes; Walter Laqueur; Hafeez Malik; Patrick H. O'Neil",Modern Humanities Research Association,eng,703,713,,postcommunist; soviet; richard sakwa; eastern europe; russia; democratization; ekiert; communist; communism; authority patterns,4670,11,unigrams; bigrams; trigrams,,,,,
ark://27927/phzthnr4gg,"GROUP PORTRAIT: THE ISPETTRICI NAZIONALI OF THE ITALIAN FASCIST PARTY, 1937–1943",The Historical Journal,2017,10.1017/S0018246X17000206,article,research-article,portico,,02/10/2017,2,61,http://doi.org/10.1017/S0018246X17000206,PERRY WILLSON,Cambridge University Press,eng,431,451,,fascist; dittrich johansen; provincial fiduciaries; gorjux bruschi; marani; marani argnani; fasci femminili; femminili; angiola moretti; franceschini,11029,21,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/41722000,"Fascism—National Socialism—Arab ""Fascism"": Terminologies, Definitions and Distinctions",Die Welt des Islams,2012,,article,research-article,jstor,,01/01/2012,03-Apr,52,http://www.jstor.org/stable/41722000,Joachim Scholtyseck,Brill,eng,242,289,,fascism; scholtyseck die; scholtyseck die welt; die welt; welt des islams; islams; national socialism; movements; political; hitler,19010,48,unigrams; bigrams; trigrams,,,,,
ark://27927/pjbgr61v591,"Cultural Restitution and the ‘Rediscovery’ of the Holocaust in Italy, 1989–2003",Journal of Modern European History,2023,10.1177/16118944231180426,article,research-article,portico,,01/08/2023,3,21,http://doi.org/10.1177/16118944231180426,Bianca Gaudenzi,SAGE Publications,eng,377,394,,restitution; jewish; anselmi; fascist; italian; holocaust; comunità ebraica; anselmi commission; gaudenzi; della comunità,13284,18,unigram; bigram; trigram,,,,,
ark://27927/phx7x20knxq,Berlusconi's impact and legacy: political parties and the party system,Modern Italy,2015,10.1080/13532944.2014.985582,article,,portico,,01/02/2015,1,20,http://doi.org/10.1080/13532944.2014.985582,Mark Donovan,Cambridge University Press,eng,11,24,,berlusconi; electoral; party system; italys; parties; sartori; bellucci; forza italia; politics; government,7982,14,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/27975516,Right-Wing Extremist Violence in the Russian Federation,Europe-Asia Studies,2011,,article,research-article,jstor,,01/01/2011,1,63,http://www.jstor.org/stable/27975516,MARTIN LARYŠ; MIROSLAV MAREŠ,"Taylor & Francis, Ltd.",eng,129,154,,russian; extreme right; violence; wing extremist; miroslav mares; moscow; extremist violence; murders; oblast; skinheads,13211,26,unigrams; bigrams; trigrams,,,,,
ark://27927/phzf3cg2kmr,NOTES ON CONTRIBUTORS,Political Populism,2017,10.5771/9783845271491-421,chapter,,portico,,26/10/2017,,,https://doi.org/10.5771/9783845271491-421,Reinhard C. Heinisch; Christina Holtz-Bacha; Oscar Mazzoleni,Nomos Verlagsgesellschaft mbH & Co. KG,eng,421,428,,populism; political science; politics; university; research; comparative; radical right; amongst others; european; czech republic,3172,8,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/43697401,George L. Mosse and Walter Laqueur on the History of Fascism,Journal of Contemporary History,2015,,article,research-article,jstor,,01/10/2015,4,50,http://www.jstor.org/stable/43697401,Stanley G. Payne,"Sage Publications, Ltd.",eng,750,767,,fascism; laqueur; jihadism; history; mosses; generic fascism; contemporary history; national socialism; fascist ideology; walter laqueur,9411,18,unigrams; bigrams; trigrams,,,,,
ark://27927/pbd81b2t9p,1. Toward Neoliberalism,Labor Disorders in Neoliberal Italy,2011,,chapter,,portico,,01/01/2011,,,,Noelle J. Mol,Indiana University Press,eng,18,37,,mobbing; biagi laws; workers; neoliberal; contracts; precariousness; toward neoliberalism; employers; lifelong contracts; ferrera and gualmini,9970,20,unigram; bigram; trigram,,,,,
ark://27927/pjbjrvhtgt9,Chapter 10 Populism in Southern Europe,Democracy Fatigue,2023,,chapter,,portico,,01/01/2023,,,,Belén Fernández-García and Ángel Valencia-Sáiz,Central European University Press,eng,,,,populist; democracy; political; parties; proposes; podemos; southern europe; populist parties; electoral; democratic,11311,25,unigram; bigram; trigram,,,,,
ark://27927/phzjqwxs66g,Italian Traditional Song in Toronto: From Autobiography to Advocacy,Journal of Canadian Studies/Revue d'études canadiennes,1994,,article,,portico,,01/01/1994,1,29,,Luisa Del Giudice,Project MUSE,eng,74,89,,italian; toronto; canadian; immigrant; traditional song; italian music; etudes canadiennes; italian canadian; folklore; musical,8215,17,unigram; bigram; trigram,,,,,
ark://27927/phx18n7q3fj,"One Vision: Music, Performance, Combat",Vanguard Performance Beyond Left and Right,2015,,chapter,,portico,,01/01/2015,,,,"Jannarone, Kimberly",University of Michigan Press,eng,212,233,,konservative revolution; die konservative; mohler die; mohler die konservative; die konservative revolution; riefenstahl; vanguard performance; one vision; laibach; leni riefenstahl,8286,22,unigram; bigram; trigram,,,,,
ark://27927/phx63v945pf,"Party Realignment and Voter Transition in Italy, 1987-1996",Comparative Political Studies,2001,10.1177/0010414001034002002,article,,portico,,01/03/2001,2,34,http://doi.org/10.1177/0010414001034002002,E. SPENCER WELLHOFER,SAGE Publications,eng,156,186,,voter transitions; electoral; parties; party realignment; wellhofer party; elections; abstentions; lega nord; party system; italian,11925,31,unigram; bigram; trigram,,,,,
ark://27927/pjbkwqnm57c,Notes,Archaism and Actuality,2023,,chapter,,portico,,01/01/2023,,,,"Harootunian, Harry",Duke University Press,eng,,,,tosaka nihon; tosaka nihon ideorogiron; meiji ishin; nihon ideorogiron; arcades proj; benjamin arcades; arcades proj ect; miki essensu; benjamin arcades proj; fascism,7010,16,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/26781459,TRUMP'S SAVAGE CAPITALISM,World Policy Journal,2017,,article,research-article,jstor,,01/04/2017,1,34,http://www.jstor.org/stable/26781459,ENZO TRAVERSO,Duke University Press,eng,13,17,,fascist; xenophobic; mussolini; unlike mussolini; donald trump; fascism rising; capitalism; savage capitalism; immigrants; muslims,2461,5,unigrams; bigrams; trigrams,,,,,
http://www.jstor.org/stable/j.ctv2gvdnpg,Rome and the Colonial City,,2022,,book,book,jstor,,01/01/2022,,,http://www.jstor.org/stable/j.ctv2gvdnpg,Sofia Greaves; Andrew Wallace-Hadrill,Oxbow Books,eng,,,Oxford,winchelsea; lilley; new winchelsea; medieval; edward; middle ages; romanità; fascist; sovereign spaces; flores historiarum,176096,,unigrams; bigrams; trigrams; fullText,,,,,
ark://27927/pgf17qpwhpp,"Book reviews: Harold D. Clarke, Allan Kornberg and Thomas J. Scotto (2009) Making Political Choices: Canada and the United States. Toronto, ON: University of Toronto Press. 302 pp. ISBN 9780802096746; ISBN 9871442601369",Party Politics,2011,10.1177/13540688110170040602,article,review-article,portico,,01/07/2011,4,17,http://doi.org/10.1177/13540688110170040602,Livianna Tossutti; James L. Newell; Duncan McDonnell,SAGE Publications,eng,527,530,,valence; positional issues; voting; valence model; turnout; valence politics; models; electoral; economic voting; valence issues,2360,4,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/26350263,Nationalism vs. Nationalism,Government and Opposition,2012,,article,research-article,jstor,,01/01/2012,2,47,http://www.jstor.org/stable/26350263,Anders Hellström; Tom Nilsson; Pauline Stoltz,Cambridge University Press,eng,186,205,,swedish; nationalism; public debate; government and opposition; sweden; mainstream parties; nationalist claims; welfare; parties; radical right,8035,20,unigrams; bigrams; trigrams,,,,,
http://www.jstor.org/stable/26373809,Contradictory Concepts,Contributions to the History of Concepts,2015,,article,research-article,jstor,,01/07/2015,1,10,http://www.jstor.org/stable/26373809,LUCIAN HÖLSCHER,Berghahn Books,eng,69,88,,lucian hölscher; concepts; jenseits; religion; religious; religious concepts; hölscher jenseits; contradictory; secular; lessing,9938,20,unigrams; bigrams; trigrams,,,,,
ark://27927/pgf17qpwhtw,"Book reviews: Carlo Ruzza and Stefano Fella (2009) Re-inventing the Italian Right: Territorial Politics, Populism and ‘Post-Fascism’. Abingdon, Oxon and New York: Routledge. $115.00 (hbk), xxi + 272 pp. ISBN 9780415344616",Party Politics,2011,10.1177/13540688110170040603,article,review-article,portico,,01/07/2011,4,17,http://doi.org/10.1177/13540688110170040603,James L. Newell; Duncan McDonnell,SAGE Publications,eng,530,532,,parties; electoral; party systems; political; party politics; italian right; jon pammett; silvio berlusconi; electoral success; visible minority,1850,3,unigram; bigram; trigram,,,,,
ark://27927/phx2x9rzqsw,"The cultural dimensions of Italian leadership: Power distance, uncertainty avoidance and masculinity from an American perspective",Leadership,2012,10.1177/1742715012441876,article,,portico,,01/08/2012,3,8,http://doi.org/10.1177/1742715012441876,Marco Tavanti,SAGE Publications,eng,287,301,,leadership; italian; hofstede; cultural; italian leadership; cultural dimensions; power distance; uncertainty avoidance; leaders; masculinity,7527,15,unigram; bigram; trigram,,,,,
ark://27927/phw9n8gk9r,Trump’s Savage Capitalism: The Nightmare is Real,World Policy Journal,2017,,article,article,portico,,01/04/2017,1,34,,Enzo Traverso,Project MUSE,eng,13,17,,fascist; capitalism; savage capitalism; populist demagogue; xenophobic; mussolini; political; authoritarian; unlike mussolini; donald trump,2392,5,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/657107,Some Recent Studies in Class Consciousness,Theory and Society,1982,,article,book-review,jstor,,01/07/1982,4,11,http://www.jstor.org/stable/657107,Ron Eyerman; Paul E. Willis; John Clarke; Chas Critcher; Richard Johnson; John Goldthorpe; David Lockwood; Frank Bechhofer; Jennifer Platt; Walter Korpi,Springer,eng,541,553,,consciousness; working; culture; capitalist; workers; social; class culture; marxist; goldthorpe; political,5880,13,unigrams; bigrams; trigrams,,,,,
ark://27927/phx7khf26rd,Rome and its Histories: a View from Australia,Australian Journal of Politics & History,2010,10.1111/j.1467-8497.2010.01568.x,article,,portico,,01/12/2010,4,56,http://doi.org/10.1111/j.1467-8497.2010.01568.x,R.J.B. Bosworth,"John Wiley & Sons, Inc.",eng,503,520,,fascist; history; rjb bosworth; mussolini; italian; rivoluzione fascista; mostra; dictatorship; catholic; delle esposizioni,11252,18,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/j.ctv2gvdnpg.25,Roma rediviva:,Rome and the Colonial City: Rethinking the Grid,2022,,chapter,chapter,jstor,,01/01/2022,,,http://www.jstor.org/stable/j.ctv2gvdnpg.25,Aristotle Kallis; Sofia Greaves; Andrew Wallace-Hadrill,Oxbow Books,eng,389,412,Oxford,fascist; romanità; fascist romanità; pontine marshes; aristotle kallis; italian; fascist era; urbanism; addis ababa; era urbanism,10496,23,unigrams; bigrams; trigrams; fullText,,,,,
ark://27927/phw4q1ft7s,“Primacy in Your Face”: Changing Discourses of National Identity and National Interest in the United States and Russia After the Cold War,Ab Imperio,2015,,article,article,portico,,07/10/2015,3,2010,,Philipp Casula,Project MUSE,eng,245,271,,foreign affairs; philipp casula; discourse; casula primacy; philipp casula primacy; national interest; policy; rogue states; chantal mouffe; states,11128,27,unigram; bigram; trigram,,,,,
ark://27927/pgg1rzjbvwj,"The Development, Application and Implications of an EU Rule of Law in the Area of Migration Policy",JCMS: Journal of Common Market Studies,2013,10.1111/j.1468-5965.2012.02296.x,article,,portico,,01/03/2013,2,51,http://doi.org/10.1111/j.1468-5965.2012.02296.x,Diego Acosta Arcarazo; Andrew Geddes,"John Wiley & Sons, Inc.",eng,179,193,,directive; immigration; returns directive; family reunification; migration; acosta arcarazo; immigration law; blackwell publishing; diego acosta; voluntary departure,9043,15,unigram; bigram; trigram,,,,,
ark://27927/pjb8dwwr34d,‘Give me liberty or give me death’,Lockdown Cultures,2022,,chapter,,portico,,10/11/2022,,,,Lee Grieveson,UCL Press,eng,12,21,,lockdown; liberty; lockdown protests; anti lockdown; libertarian; wwwtheguardiancom politics; pandemic; accessed; facebook; brexit,5180,10,unigram; bigram; trigram,,,,,
ark://27927/pjbggm016zx,METAPHYSICS IN HISTORY: NOTES ON THE ORIGINS OF AUTHORITARIANISM AND POPULISM,History and Theory,2023,10.1111/hith.12296,article,article,portico,,01/06/2023,2,62,http://doi.org/10.1111/hith.12296,Federico Sor,"John Wiley & Sons, Inc.",eng,225,250,,authoritarianism; populism; totalitarianism; origins; teleology; predispositions; fascism; asynchrony; federico sor; transcendental,17246,26,unigram; bigram; trigram,,,,,
ark://27927/pgg4msv7w7m,Body Fascism in Britain: Building the Blackshirt in the Inter-War Period,Contemporary European History,2011,10.1017/S0960777311000026,article,,portico,,08/04/2011,2,20,http://doi.org/10.1017/S0960777311000026,JULIE GOTTLIEB,Cambridge University Press,eng,111,136,,fascist; body fascism; british; oswald mosley; mosley; masculinity; sir oswald; britain; british union; physical fitness,13637,26,unigram; bigram; trigram,,,,,
ark://27927/pjb2xdnxq6x,Populism and Italy: a theoretical and epistemological conundrum,Modern Italy,2022,10.1017/mit.2021.66,article,research-article,portico,,01/02/2022,1,27,http://doi.org/10.1017/mit.2021.66,Marzia Maccaferri; Andrea Mammone,Cambridge University Press,eng,5,17,,populism; italian; fascism; political; democracy; italian populism; discourse; invernizzi accetti; tarchi; modern italy,7605,13,unigram; bigram; trigram,,,,,
ark://27927/pbq73xwcr,"Schizoanalysis, Nomadology, Fascism",Deleuze and Politics,2008,10.3366/j.ctt1r201x.8,chapter,,portico,,20/05/2008,,,https://doi.org/10.3366/j.ctt1r201x.8,Eugene W. Holland,Edinburgh University Press,eng,74,97,,fascism; deleuze and guattari; war machine; machine; thousand plateaus; nuclear family; historical fascism; fundamentalist; regime; protevi,10678,24,unigram; bigram; trigram,,,,,
ark://27927/pbd1898f699,Index,Speaking the Unspeakable in Postwar Germany,2014,,chapter,,portico,,01/01/2014,,,,"Boos, Sonja",Cornell University Press,eng,225,229,,public sphere; büchner prize; mitscherlich alexander; prize address; szondi; freud sigmund; arendt hannah; lessing; benveniste émile; darstellung darstellbarkeit,3258,5,unigram; bigram; trigram,,,,,
ark://27927/phzg15n3vxp,Subhumanism: The re‐emergence of an affective‐symbolic ontology in the migration debate and beyond,Journal for the Theory of Social Behaviour,2020,10.1111/jtsb.12237,article,,portico,,01/06/2020,2,50,http://doi.org/10.1111/jtsb.12237,Thomas Teo,"John Wiley & Sons, Inc.",eng,132,148,,subhuman; ontology; migrants; fascist; empathy; barca nostra; affective symbolic; affective; migration; humans,9422,17,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/48731406,Precarious Spaces and Subjects in Transition,Film Criticism,2019,,article,research-article,jstor,,01/09/2019,2,43,http://www.jstor.org/stable/48731406,Mihaela Brebenel,Allegheny College,eng,,,,postcommunism; romanian; transition postcommunism; romanian moving; precarious spaces; postcommunism and romanian; precarious lives; moving image; romanian moving image; richardson,7223,19,unigrams; bigrams; trigrams,,,,,
ark://27927/phz9gqq6r2h,"Late Spanish Fascists in a Changing World: Latin American Communists and East European Reformism, 1956–1975",Contemporary European History,2019,10.1017/S0960777319000079,article,research-article,portico,,01/08/2019,3,28,http://doi.org/10.1017/S0960777319000079,Miguel Ángel Ruiz Carnicer,Cambridge University Press,eng,358,371,,estudios políticos; falange; ángel ruiz; francoist; miguel ángel; regime; rodrigo royo; eastern europe; revista; spanish,10137,14,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/10.5749/jj.1410593.13,Notes,Cinema is the Strongest Weapon: Race-Making and Resistance in Fascist Italy,2023,,chapter,notes,jstor,,01/01/2023,,,http://www.jstor.org/stable/10.5749/jj.1410593.13,LORENZO FABBRI,University of Minnesota Press,eng,249,274,MINNEAPOLIS,cinema; italian; italian cinema; cinema italiano; fascist; fascist italy; university; pirandello; luchino visconti; piero garofalo,11068,25,unigrams; bigrams; trigrams; fullText,,,,,
http://www.jstor.org/stable/j.ctvw04kd8,Europeanization in Sweden,,2019,,book,book,jstor,,01/01/2019,,10,http://www.jstor.org/stable/j.ctvw04kd8,Anna Meeuwisse; Roberto Scaramuzzino,Berghahn Books,eng,,,"NEW YORK, OXFORD",swedish; consumer; sweden; anna meeuwisse; adverse drug; drug reactions; political; consumer reporting; pharmacovigilance; health,116603,,unigrams; bigrams; trigrams; fullText,,,,,
ark://27927/pjb4k97dkcn,Book Review: A Brief History of Fascist Lies by Federico Finchelstein,Journal of Contemporary History,2022,10.1177/00220094211067398a,article,book-review,portico,,01/04/2022,2,57,http://doi.org/10.1177/00220094211067398a,Roger Eatwell,SAGE Publications,eng,501,502,,fascism; fascists; populism; lucy noakes; hbk isbn; fascist ideology; death grief; nazis argentinian; populism glossing; argentinian clerical,1035,2,unigram; bigram; trigram,,,,,
ark://27927/pjbfnrbswst,Chapter 2: The Making of Maliq&#39;s Landscape: Modern and Stalinist,Sugarland,2023,,chapter,,portico,,01/01/2023,,,,"Hoxha, Artan R.",Central European University Press,eng,,,,reclamation; albanian; landscape; agriculture; communist; ministry; regime; soviet; regionalization; tirana,25677,46,unigram; bigram; trigram,,,,,
ark://27927/phzbq71swsm,Reflecting on Post-Fascism: Utopia and Fear,Critical Sociology,2019,10.1177/0896920518768867,article,,portico,,01/11/2019,07-Aug,45,http://doi.org/10.1177/0896920518768867,Chamsy el-Ojeili,SAGE Publications,eng,1149,1166,,fascism; post fascism; alt right; utopian; traverso; available accessed; marxism; critical sociology; militaristic masculinity; london verso,9751,18,unigram; bigram; trigram,,,,,
